0,1
2.00E-02,1
4.00E-02,1
6.00E-02,1
8.00E-02,1
1.00E-01,1
1.20E-01,1
1.40E-01,1
1.60E-01,1
1.80E-01,1
2.00E-01,1
2.20E-01,1
2.40E-01,1.00E+00
2.60E-01,1.00E+00
2.80E-01,1.00E+00
3.00E-01,1.00E+00
3.20E-01,9.99E-01
3.40E-01,9.99E-01
3.60E-01,9.97E-01
3.80E-01,9.95E-01
4.00E-01,9.90E-01
4.20E-01,9.80E-01
4.40E-01,9.54E-01
4.60E-01,8.16E-01
4.80E-01,4.58E-01
5.00E-01,1.59E-01
5.20E-01,3.57E-02
5.40E-01,1.59E-02
5.60E-01,8.15E-03
5.80E-01,4.35E-03
6.00E-01,2.37E-03
6.20E-01,1.30E-03
6.40E-01,7.13E-04
6.60E-01,3.89E-04
6.80E-01,2.11E-04
7.00E-01,1.13E-04
7.20E-01,5.97E-05
7.40E-01,3.12E-05
7.60E-01,1.61E-05
7.80E-01,8.21E-06
8.00E-01,4.16E-06
8.20E-01,2.10E-06
8.40E-01,1.06E-06
8.60E-01,5.45E-07
8.80E-01,2.86E-07
9.00E-01,1.57E-07
9.20E-01,9.32E-08
9.40E-01,6.13E-08
9.60E-01,4.54E-08
9.80E-01,3.75E-08
1,3.35E-08
